_title_norm,title,num_editions,edition_list
bhavishya purana,Bhavishya Purana,2,['3rd' '']
bioinstrumentation,Bioinstrumentation,2,['1st ed.' '']
biomedical instrumentation and measurements,Biomedical instrumentation and measurements,2,['2nd' '1st ed.']
biotechnology,Biotechnology,2,['3rd' '1st']
boundary layer theory,Boundary Layer Theory,3,['8th rev. ed.' '1st ed.' '']
brahma purana,Brahma Purana,2,['3rd' '']
brahmanda purana,Brahmanda Purana,2,['3rd' '']
brahmavaivasta purana,Brahmavaivasta Purana,2,['3rd' '']
building construction,Building Construction,5,['1st ed.' '' '25th' 'rep.' '14th ed.']
business communication,Business Communication,6,['1st' '17th' '' '27th ed.' '4th' '2nd ed.']
business communication9789351342960,Business Communication9789351342960,2,['1st ed.' '']
business correspondence & report writing,Business Correspondence & Report Writing,3,['1st' '3rd ed.' '1st ed.']
business correspondence and report writing,Business Correspondence and Report Writing,4,['2nd' '2nd ed.' '3rd' '1st ed.']
business driven technology,Business Driven Technology,2,['1st' '']
business environment,Business Environment,2,['18 rev.' '']
business ethics: an indian perspective,Business Ethics: an Indian perspective,2,['2nd ed.' '1st ed.']
business mathematics,Business Mathematics,3,['1st' '1st ed.' '11th ed.']
business statistics,Business Statistics,3,['rep.' '' '5th ed.']
c++ faqs,C++ FAQs,4,['2nd ed.' '1st ed.' '' '2nd']
c++ primer,C++ Primer,3,['3rd ed.' '' '3rd']
c++ programming language,C++ Programming language,2,['3rd' '']
cad/cam ...theory and practice,CAD/CAM ...Theory and practice,2,['1st ed.' '2nd ed.']
cad/cam ; computer aided design & manufacturing,CAD/CAM ; Computer Aided Design & Manufacturing,2,['1st ed.' '']
calculus,Calculus,2,['7th' '11th']
calculus and analytic geometry,Calculus and Analytic Geometry,2,['9th' '1st ed.']
cambridge ielts. 2: examination papers from the university of cambridge local examination syndicate,Cambridge IELTS. 2: Examination papers from the university of cambridge local examination syndicate,2,['7th' '2nd ed.']
cdma 2000 system for mobile communication,CDMA 2000 System for Mobile Communication,2,['1st ed.' '']
cgi programming with perl,Cgi Programming with Perl,2,['1st' '2nd ed.']
chemical process control,Chemical Process Control,3,['1st' '1st ed.' '']
chemical process control: an introd.to theo.& prac,Chemical Process Control: An Introd.to Theo.& Prac,3,['12th rep.' '12th' 'rep.']
chemistery for engineerings,Chemistery for Engineerings,2,['2nd' '2nd ed.']
chemistry in engineering and technology,Chemistry in Engineering and Technology,2,['1st ed.' '']
circuit design with vhdl,Circuit Design with VHDL,2,['1st ed.' '']
circuits,Circuits,2,['1st ed.' '']
circuits and networks..synthesis,Circuits and Networks..Synthesis,2,['1st' '']
circuits and systems,Circuits and Systems,2,['1st' '1st ed.']
classical electrodynamics,Classical electrodynamics,2,['1st ed.' '']
classical mechanics,Classical Mechanics,3,['1st ed.' '' '3rd ed.']
cmos analog circuit design,CMOS Analog Circuit Design,2,['2nd' '1st. ed.']
cmos digital integrated circuits analysis & design,CMOS Digital Integrated Circuits Analysis & Design,2,['3rd' '3rd ed.']
cmos: circuit design layout &simulation,CMOS: Circuit Design Layout &Simulation,2,['1st ed.' '']
"cmos:circuits design,layout and simulation","CMOS:Circuits Design,Layout and Simulation",2,['2nd.pri.' '2nd.']
cnc programming,CNC Programming,2,['6th' '9th ed.']
code of practice for concrete structure for the storage of liquids: part iv,Code of Practice for Concrete Structure for the Storage of Liquids: Part IV,2,['1st ed.' '']
"code of practice for concrete structure for the storage of liquids: part-3, prestressed concrete structures","Code of Practice for Concrete Structure for the Storage of Liquids: Part-3, Prestressed Concrete Structures",2,['1st ed.' '']
colour television theory & practice,Colour Television Theory & Practice,2,['1st ed.' '']
colour television: theory & practice,Colour Television: Theory & Practice,2,['1st' '']
