_title_norm,title,num_editions,edition_list
manufacturing technology: foundry. forming and welding,Manufacturing technology: Foundry. forming and welding,1,['1st ed.']
manufacturing technology: foundry forming & technology vol.1,Manufacturing Technology: Foundry Forming & Technology Vol.1,1,['1st ed.']
kim,Kim,1,['1st ed.']
key to high school english grammar and composition,Key to High School English Grammar and Composition,1,['1st ed.']
machine tool design and numerical control,Machine Tool Design and Numerical Control,1,['2nd']
"manufacturing technology: foundary, forming and welding","Manufacturing Technology: Foundary, Forming and Welding",1,['2nd']
manufacturing technology: foundary forming and welding vol.1,Manufacturing Technology: Foundary Forming and Welding Vol.1,1,['1st ed.']
ordinary and partial differencial equations,Ordinary and partial differencial equations,1,['1st ed.']
oracle 7.3,Oracle 7.3,1,['1st ed.']
julius caesar,Julius caesar,1,['']
optimization of unit operations,Optimization of Unit Operations,1,['1st']
optical physics,Optical Physics,1,['4th ed.']
optical systems and  processes,Optical Systems and  Processes,1,['1st ed.']
marketing futures work,Marketing Futures Work,1,['']
machine learning for hackers,Machine learning for hackers,1,['1st ed.']
optimization for engineering design: algorithms and examples,Optimization for engineering design: algorithms and examples,1,['1st ed.']
optimization in engineering,Optimization in engineering,1,['2nd ed.']
optimization methods in or and system analysis,Optimization Methods in OR and System Analysis,1,['3rd']
machine learning in data science using python,Machine learning in data science using python,1,['']
optimization: theory and practice,Optimization: theory and practice,1,['1st ed.']
marketing,Marketing,1,['3rd']
"options,futures and other derivatives","Options,Futures and Other Derivatives",1,['5th']
optoelectronics : an introduction,Optoelectronics : An Introduction,1,['2nd']
marketing communications,Marketing Communications,1,['3rd']
marketing classics,Marketing Classics,1,['8th']
kinematics and  dynamics of machinery,Kinematics and  Dynamics of Machinery,1,['1st ed.']
optoelectronics: an introduction,Optoelectronics: An Introduction,1,['2nd ed.']
machine learning in python,Machine learning in python,1,['1st ed.']
marketing an introduction,Marketing An Introduction,1,['5th']
manufacturing technology :metal cutting & -- tools,Manufacturing Technology :Metal Cutting & -- Tools,1,['1st ed.']
organisational behaviour: text & cases,Organisational Behaviour: text & cases,1,['2nd ed.']
manufacturing technology,Manufacturing Technology,1,['10th']
managing stress,Managing Stress,1,['1st']
manorama year book 2000,Manorama year book 2000,1,['1st ed.']
managing uncertainty,Managing Uncertainty,1,['1st ed.']
panchatantra,Panchatantra,1,['1st ed.']
pandit jawaharlal nehru,Pandit Jawaharlal Nehru,1,['1st ed.']
managing the indian state,Managing the Indian State,1,['1st']
paradise lost book,Paradise lost book,1,['']
parallel computers : architecture & programming,Parallel Computers : Architecture & Programming,1,['1st ed.']
managing systemic banking crises,Managing Systemic Banking Crises,1,['1st']
parallel computing : theory and practice,Parallel Computing : Theory and Practice,1,['2nd']
organisational challenges : insights and solutions,Organisational Challenges : Insights and Solutions,1,['1st ed.']
parallel computing :: theory and practice,Parallel Computing :: Theory and Practice,1,['2nd']
parallel programmin in c with mpi and open mp,Parallel Programmin in C with MPI and Open MP,1,['1st ed.']
parallel programming,Parallel Programming,1,['2nd rep.']
partial differential equation for engg. & scientis,Partial Differential Equation for Engg. & Scientis,1,['1st']
partial differential equations for scientists and engineers,Partial differential equations for scientists and engineers,1,['1st ed.']
parts of speech,Parts of Speech,1,['1st']
pass cambridge bec preliminary: teachers books,Pass Cambridge BEC Preliminary: Teachers Books,1,['1st']
"managing natural disasters: hydrological, marine and geological disasters","Managing natural disasters: hydrological, marine and geological disasters",1,['1st ed.']
manorama yearbook 2008,Manorama Yearbook 2008,1,['1st ed.']
manorama yearbook 2009,Manorama Yearbook 2009,1,['1st ed.']
manual of tropical housing and building: climatic design,Manual of tropical housing and building: climatic design,1,['1st ed.']
oxford school atlas,Oxford School Atlas,1,['31st']
manufacturing systems: theory and practice,Manufacturing Systems: theory and practice,1,['2nd ed.']
organisations is society,Organisations is Society,1,['1st ed.']
organization change: theory and practice,Organization change: theory and practice,1,['3rd ed.']
organizational behavior: integrated readings,Organizational Behavior: Integrated Readings,1,['6th']
machinery's handbook,Machinery's Handbook,1,['26th']
kennedy speed reading workbook,Kennedy speed reading workbook,1,['1st ed.']
organizational behaviour,ORGANIZATIONAL BEHAVIOUR,1,['10th ed.']
manufacturing processes: workshop practice,Manufacturing Processes: workshop practice,1,['1st ed.']
orthogonal frequency division multiplexing for wireless communication,Orthogonal frequency division multiplexing for wireless communication,1,['1st ed.']
manufacturing process and automation,Manufacturing Process and Automation,1,['1st ed.']
macro economics,Macro Economics,1,['4th']
manufacturing planning & control for supply chain management,Manufacturing Planning & Control for Supply Chain Management,1,['5th']
outcome based education and accreditation,Outcome based education and accreditation,1,['1st ed.']
manufacturing ...systems,Manufacturing ...systems,1,['9th ed.']
oxford dictionary of business english,Oxford dictionary of business english,1,['1st ed.']
kanthapura,Kanthapura,1,['1st ed.']
oxford dictionary of sociology,Oxford Dictionary of Sociology,1,['3rd ed.']
object oriented data structure using java,Object Oriented data structure using java,1,['1st ed.']
numerical  heat transfer & fluid flow,Numerical  Heat Transfer & Fluid Flow,1,['1st ed.']
object oriented analysis and design,Object oriented Analysis and Design,1,['1st ed.']
"money, information and uncertainty","Money, Information and Uncertainty",1,['2nd ed.']
microbial ecology,Microbial Ecology,1,['4th ed.']
lights out,Lights out,1,['']
modest proposal and other satirical works,Modest proposal and other satirical works,1,['']
micro controllers: theory &applicatins,Micro controllers: Theory &Applicatins,1,['1st ed.']
molecular biotechnology: principles and practices,Molecular biotechnology: principles and practices,1,['1st ed.']
light matter interaction: physics and engineering at the nanoscale,Light matter interaction: physics and engineering at the nanoscale,1,['1st ed.']
molecular symmetry: problems and solutions,Molecular symmetry: problems and solutions,1,['1st ed.']
monetary economics,Monetary Economics,1,['1st ed.']
"money, banking, intertnational trade and public finance","Money, banking, intertnational trade and public finance",1,['16th ed.']
"money,the financial system and the economy","Money,The Financial System and The Economy",1,['3rd ed.']
merchant of venice,Merchant of venice,1,['1st ed.']
monitoring the world economy 1820-1992,Monitoring the world economy 1820-1992,1,['1st ed.']
monk who sold his ferrari: a fable about fulfilling your dreams and reaching your destiny,Monk who sold his ferrari: a fable about fulfilling your dreams and reaching your destiny,1,['1st ed.']
"micro controllers: architecture,implementation& programming","Micro controllers: Architecture,Implementation& Programming",1,['1st ed.']
methodological thinking: basic principles of social research design,Methodological thinking: basic principles of social research design,1,['1st ed.']
metasploit  the penetration tester's guide,Metasploit  the penetration tester's guide,1,['1st ed.']
monochrome and colour television,Monochrome and Colour Television,1,['1st ed.']
morden machining process,Morden Machining Process,1,['1st']
metal cutting principles,Metal cutting principles,1,['1st ed.']
morden vlsi design: systems on chip design,Morden VLSI Design: Systems on Chip Design,1,['3rd ed']
microbial ecology: fundamantals & applications,Microbial Ecology: Fundamantals & Applications,1,['4th ed.']
microcomputer engineering,Microcomputer Engineering,1,['3rd ed.']
modern wireless communications,Modern Wireless Communications,1,['1st ed.']
modern wireless communication,Modern Wireless Communication,1,['1st ed.']
modern physics,Modern Physics,1,['1st']
linux: network administrator's guide,LINUX: Network administrator's guide,1,['3rd']
microelectronic devices,Microelectronic Devices,1,['1st']
lilacs bloom in my backyard,Lilacs bloom in my backyard,1,['1st ed.']
modern physics for engineers.,Modern Physics for Engineers.,1,['1st ed.']
microelectronic circuits:: analysis & design,Microelectronic Circuits:: Analysis & Design,1,['2nd ed.']
microelectronic circuits and devices,Microelectronic Circuits and Devices,1,['2nd']
modern power system analysis,Modern Power System Analysis,1,['3rd ed.']
modern processor design: fundamental of superscalar processors,Modern Processor design: Fundamental of superscalar Processors,1,['1st ed.']
modern production operation management,Modern Production Operation Management,1,['8th ed.']
modern production operations management,Modern Production Operations Management,1,['8th ed.']
microeconomics: theory and  applications,Microeconomics: Theory and  applications,1,['2nd']
modern semi conductor devices for integrated circuits,Modern Semi Conductor Devices for Integrated Circuits,1,['1st ed.']
modern short stories in english,Modern short stories in english,1,['1st ed.']
modern systems analysis and design,Modern Systems Analysis and Design,1,['3rd']
microeconomics : theory / application,Microeconomics : Theory / Application,1,['11th']
modern television practice,Modern Television Practice,1,['2nd ed.']
microeconomic theory,Microeconomic Theory,1,['1st ed.']
microcontrollers,Microcontrollers,1,['5th ed.']
mordern physics: theory of problems,Mordern Physics: theory of Problems,1,['2nd']
listening skills,Listening skills,1,['1st']
object oriented ...turbo c++,Object oriented ...Turbo C++,1,['1st ed.']
multimedia: systems technology & communications,Multimedia: Systems Technology & Communications,1,['1st ed.']
multimedia on the pc,Multimedia on the PC,1,['1st rep']
multimedia production planing and delivery,Multimedia Production Planing and Delivery,1,['3rd ed.']
mems,MEMS,1,['1st ed.']
let us c: solutions,Let Us C: Solutions,1,['7th']
memory systems & pipe lined processors,Memory Systems & Pipe lined Processors,1,['1st ed.']
"multimedia,production,planning & delivering","Multimedia,Production,Planning & Delivering",1,['3rd ed.']
multimedia: an introduction,Multimedia: an introduction,1,['1st ed.']
meditation and life,Meditation and life,1,['1st ed.']
multimedia: sound and video,Multimedia: Sound and Video,1,['1st ed.']
multimedia:an introduction,Multimedia:An introduction,1,['1st ed.']
mens & microsystems ; design & manufacture,Mens & Microsystems ; Design & Manufacture,1,['1st ed.']
multimedia:sound and video,Multimedia:Sound And Video,1,['1st ed.']
multinational finance,Multinational finance,1,['1st ed.']
multinational financial management,Multinational Financial Management,1,['6th']
medical instrumentation: application and design,Medical Instrumentation: application and design,1,['1st ed.']
multiple choice question bank in computer science for competitions,Multiple Choice Question Bank in Computer Science for Competitions,1,['1st']
mechatronocs,Mechatronocs,1,['1st ed.']
multiple criterion optimization and statistical de,Multiple Criterion Optimization and Statistical De,1,['1st ed.']
let us c++,Let us c++,1,['1st ed.']
multirate systems & filter banks,Multirate Systems & Filter Banks,1,['1st ed.']
multimedia marketin it work,Multimedia Marketin It Work,1,['7th  ed.']
life is what you make it: a story of love hope and how determination can over come even destiny,Life is what you make it: a story of love hope and how determination can over come even destiny,1,['1st ed.']
multimedia in practice;technology & application,Multimedia in Practice;Technology & Application,1,['1st ed.']
multimedia in practice,Multimedia in Practice,1,['1st ed.']
motivation and leadership at work,Motivation and Leadership at Work,1,['6th']
motor automotive technology,Motor Automotive technology,1,['3rd ed.']
mems and microsystems: design and manufacture,MEMS and Microsystems: Design and Manufacture,1,['1st ed.']
life writing,Life writing,1,['']
life without limits,Life without limits,1,['1st ed.']
mrs. dalloway,Mrs. Dalloway,1,['1st ed.']
ms-dos hand book,MS-DOS HAND BOOK,1,['2nd']
muliple choice questions on renewable energy,Muliple choice questions on renewable energy,1,['1st ed.']
mems & microsystems design & manufacture,MEMS & Microsystems Design & Manufacture,1,['1st ed.']
multi-objective optimization using evolutionary algorithms,Multi-objective optimization using evolutionary algorithms,1,['reprint']
mahatma gandhi and the environment: analysing gandhian environmental thought,Mahatma gandhi and the environment: analysing Gandhian environmental thought,1,['1st ed.']
multimedia : computing communication & application,Multimedia : Computing Communication & Application,1,['2nd rep ed.']
multimedia : computing communications & app,Multimedia : Computing Communications & App,1,['3rd']
multimedia : sound and video,Multimedia : Sound and Video,1,['1st ed.']
multimedia an introduction,Multimedia an introduction,1,['2nd ed.']
multimedia communication,Multimedia Communication,1,['1st']
life of vision: adarsa jivan,Life of vision: Adarsa jivan,1,['1st ed.']
multimedia communications,Multimedia Communications,1,['1st']
multimedia in action,Multimedia In Action,1,['1st ed.']
modern organisation,Modern organisation,1,['1st']
linux application development,Linux application development,1,['1st ed.']
microelectronics:concept & application,Microelectronics:Concept & application,1,['1st ed.']
model analysis of structures,Model analysis of structures,1,['1st ed.']
linear programming & network flows,Linear Programming & Network Flows,1,['3rd']
mobile cellular telecommunications analog & digital systems,Mobile Cellular Telecommunications analog & Digital Systems,1,['2nd ed.']
mobile communication engineering,Mobile Communication Engineering,1,['2nd ed.']
mobile communications 2nd,Mobile Communications 2nd,1,['2nd ed.']
microprocessors theory & application intel & motolora,Microprocessors Theory & Application Intel & Motolora,1,['1st ed.']
mobile communications handbook,Mobile Communications Handbook,1,['2nd']
mobile computing,Mobile Computing,1,['1st ed.']
microprocessors system design and interfacing,Microprocessors System Design And Interfacing,1,['1st ed.']
microprocessors principles and applications,Microprocessors principles and applications,1,['1st']
microprocessors pc hardware & interfacing,Microprocessors PC hardware & Interfacing,1,['1st ed.']
modern money and banking,Modern Money and Banking,1,['3rd ed.']
model solutions to iit,Model solutions to IIT,1,['1st ed.']
modeling and analysis of dynamic systems,Modeling and Analysis of Dynamic Systems,1,['3rd']
modelling and analysis of linear system,Modelling And Analysis of Linear System,1,['1st']
modelling and simulation,Modelling and Simulation,1,['1st ed.']
"models of management : work, authority & org....","Models of Management : Work, Authority & Org....",1,['1st']
linear system theory and design,Linear System Theory and Design,1,['3rd']
modern accountancy vol .i,Modern Accountancy Vol .I,1,['2nd ed.']
microprocessors and interfacing,Microprocessors and Interfacing,1,['2nd ed.']
modern algebra,Modern Algebra,1,['1st ed.']
mobile cellular telecom:analog and digital systems,Mobile Cellular Telecom:Analog and Digital Systems,1,['2nd ed.']
mobile and wireless design essentials,Mobile and wireless design essentials,1,['1st ed.']
linear algebra an introductory approach,Linear algebra an introductory approach,1,['1st ed.']
mobile & personal communication systems & service,Mobile & Personal Communication Systems & Service,1,['1st ed.']
linear programming,Linear Programming,1,['1st ed.']
microwave devices & circuits,Microwave devices & circuits,1,['1st']
microwave devices and applications,Microwave Devices and Applications,1,['1st ed.']
microwave,Microwave,1,['1st ed.']
microsoft sql server 7.0,Microsoft SQL Server 7.0,1,['1st ed.']
"microsoft office project,2007 step by step","Microsoft office project,2007 step by step",1,['1st ed.']
microsoft office 2000 for windows,Microsoft Office 2000 for Windows,1,['3rd rep.']
microwave engineering 3rd,Microwave Engineering 3rd,1,['3rd ed.']
microsoft office 2000,Microsoft office 2000,1,['1st ed.']
microsoft exchange server 2003,Microsoft Exchange Server 2003,1,['1st ed.']
"linear circuit analysis: time domain, phasor, and laplace transform approaches","Linear circuit analysis: time domain, phasor, and laplace transform approaches",1,['2nd ed.']
microsoft asp net programming with visual c##,Microsoft asp net programming with Visual C##,1,['1st']
microwave engineering : passive circuits,Microwave Engineering : Passive Circuits,1,['2nd pri.']
microwave solid state circuit design,Microwave Solid State Circuit Design,1,['2nd ed.']
midnight's children,Midnight's Children,1,['1st ed.']
"minimum wages act,1948","Minimum wages act,1948",1,['1st ed.']
linear algebra and its application,Linear algebra and its application,1,['1st ed.']
"mining the social web: data mining facebook, twitter, linkdin, google+, github and more","Mining the social web: data mining facebook, twitter, linkdin, google+, github and more",1,['1st ed.']
miro electronics,Miro Electronics,1,['1st ed.']
modern approach to logical reasoning,Modern Approach to Logical Reasoning,1,['1st']
modern approach to verbal & non -verbal reasoning,Modern approach to verbal & non -verbal reasoning,1,['1st ed.']
modern approach to verbal & non- verbal reasoning,Modern approach to verbal & non- verbal reasoning,1,['1st ed.']
modern electronics measurement techniques,Modern Electronics Measurement Techniques,1,['1st']
modern engineering physics,Modern Engineering Physics,1,['2nd ed.']
modern english poetry a selection,Modern english poetry a selection,1,['']
microprocessor architecture ..... with the 8085,Microprocessor Architecture ..... with the 8085,1,['4th ed.']
modern english usage,Modern English usage,1,['1st ed.']
microprocessor and interfacing,Microprocessor and Interfacing,1,['1st ed.']
modern indian company law,Modern Indian Company Law,1,['25th ed.']
modern industrial organisation,Modern Industrial Organisation,1,['3rd']
modern information retrieval,Modern Information Retrieval,1,['1st ed.']
modern machining methods,Modern Machining Methods,1,['1st ed.']
modern machining tools,Modern Machining Tools,1,['1st ed.']
modern macroeconomics,Modern Macroeconomics,1,['4th ed.']
modern management concepts and skills,Modern Management Concepts and Skills,1,['1st ed.']
modern marketing management,Modern Marketing Management,1,['7th']
linking wages with productvity,Linking Wages with Productvity,1,['1st']
linux,LINUX,1,['1st']
microprocessor & interfacing,Microprocessor & Interfacing,1,['1st']
microporcessors : theory and applications,Microporcessors : Theory and Applications,1,['11th pri.']
modern marketing mangement,Modern Marketing Mangement,1,['7th']
modern micro economics,Modern Micro Economics,1,['1st']
limit state design of reinforced concrete,Limit state design of reinforced concrete,1,['1st ed.']
limit state design of steel structures,Limit state design of steel structures,1,['1st ed.']
modern approach to verbal and non verbal reasoning,Modern approach to verbal and non verbal reasoning,1,['1st ed.']
microprocessor architecture with the 8085,Microprocessor Architecture With the 8085,1,['5th ed.']
modern banking in theory and practice,Modern Banking in Theory and Practice,1,['1st']
modern business organisation & management,Modern Business Organisation & Management,1,['rev.']
modern coding theory,Modern Coding Theory,1,['1st ed.']
microprocessors & micro controllers 8085/8051: archotecture progr. & systems design,Microprocessors & Micro controllers 8085/8051: Archotecture Progr. & Systems Design,1,['1st ed.']
modern computer architecture,Modern Computer architecture,1,['1st']
modern concept of biotechnology,Modern Concept of Biotechnology,1,['2nd rep.']
"limitaion of social research,the","limitaion of Social Research,The",1,['1st']
modern concept of ecology,Modern Concept of Ecology,1,['8th rev.']
modern concepts of microbiology,Modern Concepts of Microbiology,1,['2nd rev']
modern construction management,Modern construction management,1,['1st ed.']
modern control system,Modern Control System,1,['11th ed.']
microprocessors & micro controllers 8085/8051: architecture program & systems design,Microprocessors & Micro controllers 8085/8051: Architecture Program & Systems Design,1,['1st ed.']
modern database management,Modern Database Management,1,['8th ed.']
physics and applications of negative refractive index materials,Physics and applications of negative refractive index materials,1,['1st ed.']
microprocessors & interfacing programming & hardware,Microprocessors & Interfacing Programming & Hardware,1,['2nd ed.']
modern digital electronics 3rd,Modern Digital Electronics 3rd,1,['3rd ed.']
modern economics,Modern Economics,1,['1st ed.']
modern electronic instr.and measurement techniques,Modern Electronic Instr.and Measurement Techniques,1,['14th pri.']
microprocessor-based design,Microprocessor-Based Design,1,['2nd pri.']
murphy's english grammar,Murphy's English Grammar,1,['3rd ed.']
literature of protest,Literature of Protest,1,['']
nano materials,Nano materials,1,['1st ed.']
new revised compilation of sixth pay commision acceptance....,New revised compilation of sixth pay commision acceptance....,1,['4th']
"matlab, for engineers explained","MATLAB, for Engineers Explained",1,['1st ed.']
matlab programming for engineers,Matlab programming for engineers,1,['4th ed.']
matlab demystified: basic concepts and application,MATLAB Demystified: Basic concepts and application,1,['1st ed.']
matlab :  introduction with applications,MATLAB :  introduction with applications,1,['1st ed.']
mathematics today,Mathematics Today,1,['1st']
new international----english,New international----english,1,['1st ed.']
new millennium physics (a to z in physics),New Millennium Physics (A to Z in Physics),1,['21st']
mathematics mcq: n,Mathematics MCQ: N,1,['4th']
new perspective on human resource management,New Perspective on Human Resource Management,1,['1st rep']
mathematics mcq,Mathematics MCQ,1,['1st ed.']
neural networks fuzzy systems and evolutionary algorithms,Neural networks fuzzy systems and evolutionary algorithms,1,['1st ed.']
mathematics for management,Mathematics for Management,1,['1st ed.']
new trends in green chemistry,New trends in GREEN CHEMISTRY,1,['2nd ed.']
"next generation wireless lans: throughput, robustness and rel","Next generation wireless LANS: Throughput, Robustness and Rel",1,['1st ed.']
night train at deoli and other stories,Night Train at Deoli and other stories,1,['']
non conventional and renewable energy sources,Non conventional and renewable energy sources,1,['1st ed.']
non conventional energy sources,Non conventional energy sources,1,['5th ed.']
non linear optics,Non linear optics,1,['1st ed.']
learn correct english: a book of grammar usage & composition,Learn Correct English: A Book of Grammar Usage & Composition,1,['1st ed.']
non- conventional energy sources,Non- conventional energy sources,1,['5th ed.']
new international business english (student book),New international business English (student book),1,['1st ed.']
learn ios application development,Learn ios application development,1,['']
new international business english,New international business English,1,['1st ed.']
new gre premier graduate record examination 2011-2012,New GRE PREMIER Graduate Record Examination 2011-2012,1,['1st ed.']
neural networks8177588524: a comprehensive foundation,Neural Networks8177588524: A Comprehensive Foundation,1,['2nd ed.']
neural networks: a comprehensive foundation,Neural Networks: a comprehensive foundation,1,['2nd ed. rep.']
learning python,Learning python,1,['1st ed.']
neuro - fuzzy pattern recognition,Neuro - Fuzzy Pattern Recognition,1,['1st ed.']
mcdonaldization of society,McDonaldization of Society,1,['1st ed.']
learning and soft computing,Learning and Soft Computing,1,['1st']
matrix methods of structural analysis,Matrix methods of structural analysis,1,['1st ed.']
matlab; an introduction with application,MATLAB; An Introduction with Application,1,['1st ed.']
learn quantum computing with python & ibm quantum experience,Learn Quantum Computing with Python & IBM Quantum Experience,1,['']
new classical macroeconomics,New classical macroeconomics,1,['1st ed.']
new course chemistry foe xii,New Course Chemistry foe XII,1,['1st']
new dictionary of civil engineering,New Dictionary of Civil Engineering,1,['1st ed.']
matlab: an introduction with applications,MATLAB: An Introduction with Applications,1,['1st ed.']
learn python,Learn python,1,['1st ed.']
"new directions: reading, writing,critical thinking","New Directions: Reading, Writing,Critical Thinking",1,['2nd']
new era of management,New Era of Management,1,['1st ed.']
learn microsoft visual j++ 6.0,Learn Microsoft Visual J++ 6.0,1,['1st ed.']
lte for umts : evolution to lte-advanced,LTE for UMTS : Evolution to LTE-advanced,1,['1st ed.']
new forler's--english usage,New forler's--english usage,1,['1st ed.']
nonlinear fiber optics,Nonlinear fiber optics,1,['1st ed.']
mathematics for economists,Mathematics for Economists,1,['1st']
nonlinear phenomena,Nonlinear Phenomena,1,['1st']
numerical methods in engg & science,Numerical methods in engg & science,1,['7th ed.']
mathematical statistics:(lost): r.no.28880,Mathematical Statistics:(Lost): R.No.28880,1,['29th']
mathematical statistics with application,Mathematical Statistics with Application,1,['7th']
lasers: the new technology of light,Lasers: The New Technology of Light,1,['1st']
numerical methods in engg. and science,Numerical methods in engg. and science,1,['5th ed.']
mathematical statistics,Mathematical Statistics,1,['29th ed.']
numerical methods in engineering & science with programming in c & c++,Numerical methods in engineering & science with programming in C & C++,1,['9th ed.']
lasers theory and applications,Lasers theory and Applications,1,['1st']
numerical methods in engineering and science: with programming in c & c++,Numerical methods in engineering and science: with programming in C & C++,1,['9th ed.']
mathematical models of environment,Mathematical Models of Environment,1,['1st']
mathematical modelling,Mathematical modelling,1,['1st ed.']
numerical methods with computers,Numerical Methods with Computers,1,['1st ed.']
numerical methods: for scientific & eng.computation,Numerical Methods: for Scientific & Eng.Computation,1,['6th ed.']
numerical methods: for scientific...,NumericaL Methods: for Scientific...,1,['1st ed.']
lasers and non linear optics,Lasers and non linear optics,1,['2nd']
mathematical elements for computer graphics,Mathematical Elements for Computer Graphics,1,['2nd ed.']
numerical methods: scientific and engineering computation,Numerical Methods: Scientific and Engineering Computation,1,['6th']
"materials: engineering, science, processing and design","Materials: Engineering, Science, Processing and Design",1,['1st ed.']
numerical problems in physics vol. 1,Numerical problems in physics Vol. 1,1,['']
numerical recipes in c,Numerical Recipes in C,1,['2nd.']
mathematical----economics,Mathematical----economics,1,['1st ed.']
numerical methods in c,Numerical Methods in C,1,['1st ed.']
nonlinear programming,Nonlinear Programming,1,['1st ed.']
latex; users guide & reference manual,LATEX; Users Guide & Reference Manual,1,['2nd']
nonparametric econometrics,Nonparametric Econometrics,1,['1st']
nootan fundamental physics : for class xii,Nootan Fundamental Physics : For Class XII,1,['1st']
"not too loose, not too tight, ' just right': tuning the mind","Not too loose, not too tight, ' Just Right': Tuning the mind",1,['1st ed.']
mathematics for economics and business,Mathematics for Economics and Business,1,['2nd ed.']
mathematics for economics analysis,Mathematics for Economics Analysis,1,['1st ed.']
numerical chemistry,Numerical Chemistry,1,['1st']
lean start up: how constant innovation creates radically successful business,Lean Start up: how constant innovation creates radically successful business,1,['1st ed.']
"lean and agile manufacturing: theoretical, practical and research futurities","Lean and agile manufacturing: theoretical, practical and research futurities",1,['1st ed.']
mathematics for economics,Mathematics for Economics,1,['2nd ed.']
numerical control and computer aided manufacturing,Numerical Control and Computer Aided Manufacturing,1,['1st ed.']
mathematics for eco.and fina.:methods and model.,Mathematics for Eco.and Fina.:Methods and Model.,1,['low price']
mathematics for class xii part b,Mathematics for Class XII Part B,1,['rev ed']
leading issues in economic development,Leading Issues in Economic Development,1,['7th']
numerical methods :science & engg. computation,Numerical Methods :Science & Engg. Computation,1,['5th ed.']
mathematics for class xii part a,Mathematics for Class XII Part A,1,['1st']
mathematics for class xi volume ii: including part b & c,Mathematics for Class XI Volume II: Including Part B & C,1,['1st']
leadership for world-class universities: challenges for developing countries,Leadership for world-Class Universities: challenges for developing countries,1,['1st ed.']
mathematics for class xi volume i,Mathematics for Class XI Volume I,1,['1st']
mathematics and its applications to industry,Mathematics and Its Applications to Industry,1,['1st']
mcgraw - hill encyclopedia of science & technology vol. 1,McGraw - Hill Encyclopedia of Science & Technology Vol. 1,1,['9th']
mcqs in computer science,MCQs in computer science,1,['4th ed.']
nano materials synthesis and characterisation,Nano materials synthesis and characterisation,1,['1st ed.']
"national building code of india, 2005: sp-7","National building code of India, 2005: SP-7",1,['1st ed.']
mechanics,Mechanics,1,['1st ed.']
mechanical vibrations and noise engineering,Mechanical Vibrations and Noise Engineering,1,['1st ed.']
legal aspects of business,Legal Aspects of Business,1,['5th ed.']
local area networks,Local Area Networks,1,['2nd']
nanotechnology:: principles and practices,Nanotechnology:: Principles and Practices,1,['1st ed.']
mechanical system design,Mechanical System Design,1,['2nd ed.']
nanotribology: critical assessment and research needs,Nanotribology: critical assessment and research needs,1,['1st ed.']
national building code of india 2016: volume 1,National building code of India 2016: Volume 1,1,['1st ed.']
national building code of india 2016: volume 2,National building code of India 2016: Volume 2,1,['1st ed.']
nature of work,Nature of Work,1,['2nd']
learning spark,Learning Spark,1,['1st ed.']
mechanical science-ii: thermodynamics...,Mechanical science-II: Thermodynamics...,1,['1st ed.']
mechanical metallurgy,Mechanical metallurgy,1,['1st ed.']
negative refraction metamaterials: fundamental principles and application,Negative refraction metamaterials: fundamental principles and application,1,['1st ed.']
lolita,Lolita,1,['1st ed.']
mechanical measurements,Mechanical measurements,1,['5th ed.']
leet  letral  engineering entrance test for lateral entry to  engineering  degree  programmes,LEET  letral  engineering entrance test for lateral entry to  engineering  degree  programmes,1,['']
"negotiable instruments act,1881","Negotiable Instruments act,1881",1,['1st']
nehru the making of india,Nehru The Making Of India,1,['1st']
mechanical engineers' handbook,Mechanical Engineers' Handbook,1,['2nd']
mechanics of solid's,Mechanics of Solid's,1,['2nd ed.']
nanotechnology: fundamentals and applications,Nanotechnology: fundamentals and applications,1,['1st ed.']
nanotechnology: basic science and emerging technologies,Nanotechnology: basic science and emerging technologies,1,['1st ed.']
"nanotechnology: an introduction to synthesis, properties and applications of nanomaterials","Nanotechnology: an introduction to synthesis, properties and applications of nanomaterials",1,['1st ed.']
mechatronics: principle concepts & application,Mechatronics: Principle Concepts & Application,1,['1st ed.']
nano: the essentials understanding nano science & nanotechnology,NANO: The Essentials Understanding Nano science & Nanotechnology,1,['1st ed.']
lesson plans for engineering graphics: a teachers manual,Lesson Plans for Engineering Graphics: A Teachers Manual,1,['1st ed.']
nanoelectronics and nanosystems from transistors to ...devices,Nanoelectronics and nanosystems from transistors to ...devices,1,['1st ed.']
leo tolstoy,Leo Tolstoy,1,['1st ed.']
nanostructures: theory and modelling,Nanostructures: theory and modelling,1,['1st ed.']
mechatronics system design,Mechatronics System Design,1,['1st ed.']
mechatronics ; principle concepts & application,Mechatronics ; Principle Concepts & Application,1,['1st']
living traditions in contemperory contexts,Living Traditions in Contemperory Contexts,1,['1st']
nanotechnology,Nanotechnology,1,['4th rep.']
nanotechnology : the science of small,Nanotechnology : the science of small,1,['1st ed.']
lehniger principles of biochemistry,Lehniger Principles of Biochemistry,1,['3rd']
"nanotechnology and nanoelectronics: materials, devices, measurement techniques","Nanotechnology and nanoelectronics: materials, devices, measurement techniques",1,['1st ed.']
nanotechnology for microelectronics and optoelectronics,Nanotechnology for microelectronics and optoelectronics,1,['1st ed.']
mechatronic systems: fundamentals,Mechatronic Systems: fundamentals,1,['1st ed.']
mechanics: berkeley physics course-vol i,Mechanics: Berkeley physics course-vol I,1,['1st ed.']
nanotechnology: a future technology with visions,Nanotechnology: A Future Technology with Visions,1,['1st ed.']
