_title_norm,title,quantity
introduction to crystal lattice & lattice defect,Introduction to Crystal Lattice & Lattice Defect,10
remote sensing and image interpretation,Remote Sensing and Image Interpretation,10
introduction to digital systems,Introduction to Digital Systems,10
introduction to electrodynamics,Introduction to Electrodynamics,10
materials and process in manufacturing,Materials and Process in Manufacturing,10
introduction to error control codes,Introduction to Error Control Codes,10
total quality management,Total quality management,10
maintenance & spare parts management,Maintenance & Spare Parts management,10
programming python,Programming python,10
introduction to fuzzy control,Introduction to Fuzzy Control,10
civil engineering: a very short introduction,Civil engineering: a very short introduction,10
programming with fortran 77,Programming with fortran 77,10
maintenance and repair of civil structures,Maintenance and Repair of Civil Structures,10
traffic engineering & transport planning,Traffic Engineering & Transport Planning,10
communicating data with tableau,Communicating data with tableau,10
manufacturing technology,Manufacturing Technology,10
concepts of physics,Concepts of physics,10
an elementary course in partial  differential equations,An elementary course in partial  Differential Equations,10
management and organisational behaviour,Management and Organisational Behaviour,10
wireless crash course,Wireless crash course,10
power system analysis,Power System Analysis,10
kinematics and  dynamics of machinery,Kinematics and  Dynamics of Machinery,10
construction planning equipment and its management,Construction Planning Equipment and its Management,10
a textbook of theory of machines,A Textbook of Theory of Machines,10
principles of measurement and instrumentation,Principles of Measurement and Instrumentation,10
modern algebra,Modern Algebra,10
integrated circuits: a textbook for engineering students,Integrated Circuits: A Textbook for Engineering Students,10
lasers : theory and applications,Lasers : Theory and Applications,10
course of experiment with he-ne laser,Course of Experiment with He-Ne laser,10
theory and problems of operation managements,Theory and Problems of Operation Managements,10
theory and problems of programming with c,Theory and Problems of Programming with C,10
refrigeration and air condition,Refrigeration and air condition,10
theory and problems of strength of materials,Theory and Problems of Strength of Materials,10
theory of machine,Theory of Machine,10
course in electrical circuit analysis,Course in Electrical Circuit Analysis,10
unix : concepts and applications,Unix : Concepts and Applications,10
"lean and agile manufacturing: theoretical, practical and research futurities","Lean and agile manufacturing: theoretical, practical and research futurities",10
a text book of optics,A Text book of Optics,10
probability and random processes with applications to signal processing,Probability and random processes with applications to signal processing,10
industrial maintenance,Industrial Maintenance,10
semiconductor devices: modelling and technology,Semiconductor devices: Modelling and technology,10
processes and materials of manufacture,Processes and Materials of Manufacture,10
a textbook of refrigeration and air conditioning,A Textbook of Refrigeration and Air Conditioning,10
unix: concept and application,Unix: Concept and Application,10
wireless communicaiton,Wireless Communicaiton,10
"concrete mix proportioning:: guidelines, is-10262-09","Concrete mix proportioning:: guidelines, IS-10262-09",10
3000 solved problems ..chemistry,3000 Solved problems ..chemistry,10
windows programming primer plus,Windows Programming Primer Plus,10
metal cutting principles,Metal cutting principles,10
is-95 cdma & cdma 2000: cellular ipcs system implementation,IS-95 CDMA & Cdma 2000: Cellular IPCS System Implementation,10
advanced analytics with spark,Advanced analytics with Spark,10
using visual basic 6,Using Visual Basic 6,10
"negotiable instruments act,1881","Negotiable Instruments act,1881",10
production and operation management: an applied modern approach,Production and Operation Management: an applied modern approach,10
priniples of communication systems,Priniples of Communication Systems,10
essentials of communications,Essentials of Communications,9
"the 8051/ 8052 micro-controller: architecture,assembly language, hardware","The 8051/ 8052 Micro-controller: Architecture,assembly language, hardware",9
fundamentals of electric circuit theory,Fundamentals of Electric Circuit Theory,9
civil engineering drawing,Civil engineering drawing,9
process control instrumentaion technology,Process Control Instrumentaion Technology,9
material science and metallurgy,Material Science and Metallurgy,9
text mining with r: a tidy approach,Text mining with R: a tidy approach,9
data & computer communications,Data & Computer Communications,9
communication systems analog & digital,Communication Systems Analog & Digital,9
elements of engineering electromagnetics,Elements of Engineering Electromagnetics,9
small scale industries & entrepreneurship,Small Scale Industries & Entrepreneurship,9
business legislation for management,Business Legislation for Management,9
apllied numerical analysis,Apllied numerical analysis,9
operations research for management,Operations Research for Management,9
gate 2014: computer science and information technology,GATE 2014: computer science and information technology,9
material management,Material management,9
manufacturing technology: foundry forming & technology vol.1,Manufacturing Technology: Foundry Forming & Technology Vol.1,9
"neural networks,fuzzy logic and genetic algorithms","Neural Networks,Fuzzy Logic and Genetic Algorithms",9
pulse & digital circuits,Pulse & Digital Circuits,9
modest proposal and other satirical works,Modest proposal and other satirical works,9
cad/cam : computer-aided design and manufacturing,CAD/CAM : Computer-Aided Design and Manufacturing,9
indian economy: its development experience,Indian Economy: its development experience,9
modern control system,Modern Control System,9
feedback and control system,Feedback And Control System,9
electronic. engg. materials & device,Electronic. Engg. materials & Device,9
pro asp.net 2.0 in c,Pro ASP.NET 2.0 in C,9
data mining,Data Mining,9
teach yourself java 2 platform,Teach yourself Java 2 Platform,9
theory and problems of discrete mathematics,Theory and Problems of Discrete Mathematics,9
fundamentals of electrical engineering,Fundamentals of Electrical Engineering,9
auto design,Auto Design,9
introduction to management accounting,Introduction to Management Accounting,9
aula 1 international: curso de espanol,Aula 1 International: curso de espanol,9
modern electronic instrumentation & measurement techniques,Modern Electronic Instrumentation & Measurement Techniques,9
"digital forensics with kali linux: perform data acquisition,digital investigation, and threat analysis using kali linux tools.","Digital forensics with kali linux: perform data acquisition,digital investigation, and threat analysis using kali linux tools.",9
manufacturing technology :metal cutting & -- tools,Manufacturing Technology :Metal Cutting & -- Tools,9
theory and problems of data staructures,Theory and Problems of Data Staructures,9
fundamentals of digital image processing,Fundamentals of Digital Image Processing,9
error control coding: fundamentals and applications,Error control coding: Fundamentals and applications,9
concepts of physics: n,Concepts of physics: n,9
discrete math.for comp. scientist & mathematicians,Discrete Math.for Comp. Scientist & Mathematicians,9
financial management .- 9th ed.,Financial Management .- 9th ed.,9
successful presentation skills,Successful Presentation Skills,9
a text book on automatic control system engineering,A text Book on Automatic Control System Engineering,9
operating system concept,Operating System Concept,9
data warehouse toolkit,Data Warehouse Toolkit,9
ccna: cisco certified network associate,CCNA: Cisco Certified Network Associate,9
r graphics cookbook,R Graphics cookbook,9
a textbook of railway engineering,A Textbook of Railway Engineering,9
head first android development: : a brain-friendly guide,Head first android development: : a brain-friendly guide,9
an introduction to database systems,An Introduction to Database Systems,9
mechanical engineering for gate,Mechanical engineering for gate,9
cell and molecular biology,Cell and Molecular Biology,9
intel programming designing ...pro.. 8086/8088,Intel Programming Designing ...Pro.. 8086/8088,9
wireless communicaiton principles and practice,Wireless Communicaiton Principles and Practice,9
"computer networks :: protocol, standard & interface","Computer Networks :: Protocol, Standard & Interface",9
the official guide for gmat review,The official guide for gmat review,9
electrical engineering materials & semiconductor devices,Electrical Engineering Materials & semiconductor Devices,9
physics of waves and oscillation,Physics of waves and oscillation,9
physics: n,physics: n,9
limit state design of steel structures,Limit state design of steel structures,9
software engineering fundamentals,Software Engineering Fundamentals,9
"advanced microprocessor and peripherals : architecture, programming and interfacing","Advanced Microprocessor and Peripherals : Architecture, Programming and Interfacing",9
sure success in interviews,Sure success in interviews,9
advanced microprocessor and peripherals,Advanced Microprocessor and peripherals,9
vector mechanics for engineers:statics,Vector Mechanics for Engineers:Statics,9
hacking exposed 7: network security secrets and solutions,Hacking Exposed 7: Network Security Secrets and solutions,9
comprehensive mathematics,Comprehensive Mathematics,9
comprehensive quantitative methods,Comprehensive Quantitative methods,9
environmental studies,Environmental Studies,9
environmental science: a new approach,Environmental science: a new approach,9
understanding neural networks and fuzzy logic,Understanding Neural Networks and Fuzzy Logic,9
environmental studies and green technologies,Environmental studies and green technologies,9
functions of complex variables,Functions of Complex Variables,9
student workbook for economics,Student Workbook for Economics,9
introduction to artificial intelligence & expert s,Introduction to Artificial Intelligence & Expert S,9
fuzzy sets & fuzzy logic: theory & application,Fuzzy Sets & Fuzzy Logic: theory & application,9
degarmo's materials and processes in manufacturing,DeGarmo's materials and processes in manufacturing,9
learning spark,Learning Spark,9
introduction to arti. intell. and expert systems,Introduction to Arti. Intell. and Expert Systems,9
"bioinformatics methods and applications: genomics, proteomics and drug discovery","Bioinformatics methods and applications: genomics, proteomics and drug discovery",9
circuits and systems,Circuits and Systems,8
fundamentals of wireless communication,Fundamentals of Wireless Communication,8
circuits and networks :analysis and synthesis,Circuits and Networks :Analysis and Synthesis,8
quantitatives aptitude & reasoning,Quantitatives Aptitude & Reasoning,8
unix: concept & applications,Unix: concept & applications,8
chemistery for engineerings,Chemistery for Engineerings,8
economics workbook,Economics Workbook,8
bhagavad-gita:: as it is,Bhagavad-Gita:: As it is,8
basic of mechanical engineering,Basic of mechanical Engineering,8
electrical & electronic engineering material &comp,Electrical & Electronic Engineering Material &Comp,8
economics: an analytical introduction,Economics: An analytical introduction,8
make: electronics: learning by discovery,Make: electronics: learning by discovery,8
using information technology,Using Information Technology,8
electric power distribution,Electric power distribution,8
"circuits,devices and systems","Circuits,devices and systems",8
inventory management: principles and practices,Inventory management: principles and practices,8
electromagnetic waves,Electromagnetic Waves,8
electrical machines,Electrical Machines,8
fundamentals of engineering drawing,Fundamentals of Engineering Drawing,8
building drawing: with an integrated approach to built environment,Building Drawing: With an Integrated Approach to Built Environment,8
getting started with sql,Getting Started with SQL,8
macro economics,Macro Economics,8
personnel management,Personnel Management,8
"effective training: systems, startegiess & practices","Effective Training: Systems, Startegiess & Practices",8
business law for management,Business Law for Management,8
operation research; theory & application,Operation Research; Theory & Application,8
the 8051 micro controller & embedded system,The 8051 Micro controller & Embedded System,8
the art of forgiveness,The art of forgiveness,8
probability and statistics,Probability and statistics,8
mathematical statistics with application,Mathematical Statistics with Application,8
product design and  development,Product Design and  Development,8
numerical control and computer aided manufacturing,Numerical Control and Computer Aided Manufacturing,8
data mining: concepts & techniques,Data Mining: concepts & techniques,8
computer aided manufacturing,Computer Aided Manufacturing,8
mechanics of materials,Mechanics of Materials,8
numerical methods in engg. and science,Numerical methods in engg. and science,8
procedural elements for computer graphics,Procedural Elements for Computer Graphics,8
computer organization and archiotecture designing for performance,Computer organization and archiotecture designing for performance,8
modern operating systems,Modern Operating Systems,8
world class supply management,World class supply management,8
data science and analytics with python,Data science and analytics with python,8
house wiring,House wiring,8
management information system,Management information system,8
network management: principles & management,Network Management: Principles & Management,8
workouts in intermediate microeconomics,Workouts in Intermediate Microeconomics,8
essential guide to telecommunication,Essential Guide to Telecommunication,8
working with words,Working With Words,8
surveying.vol.2,Surveying.Vol.2,8
microsoft office 2000 for windows,Microsoft Office 2000 for Windows,8
mobile and personal communication sys. & services,Mobile and Personal Communication Sys. & Services,8
teach yourself visual basic 5 in 21 days.,Teach Yourself Visual Basic 5 in 21 days.,8
nanotechnology:: principles and practices,Nanotechnology:: Principles and Practices,8
a text book of vector analysis,A Text book of Vector Analysis,8
engineering design,Engineering Design,8
an introduction to mechanical engineering,An Introduction to Mechanical Engineering,8
modern indian company law,Modern Indian Company Law,8
materials management,Materials Management,8
"sql,pl/sql  the programming language of oracle 3","SQL,PL/SQL  The Programming Language of Oracle 3",8
fundamentals of digital marketing,Fundamentals of Digital marketing,8
automobile mechanics,Automobile Mechanics,8
text book of refrigeration,Text book of Refrigeration,8
introduction to mechanics,Introduction to Mechanics,8
modern management concepts and skills,Modern Management Concepts and Skills,8
programming with java a primer,Programming With Java A Primer,8
multimedia: sound and video,Multimedia: Sound and Video,8
theory of elasticity,Theory of Elasticity,8
data communications and networks,Data Communications and Networks,8
solar energy: principles of thermal collection and storage,Solar energy: principles of thermal collection and storage,8
fundamental of statistics,Fundamental of Statistics,8
robotics & control,Robotics & Control,8
object oriented database design,Object Oriented Database Design,8
modern approach to logical reasoning,Modern Approach to Logical Reasoning,8
object oriented modeling & design with uml,Object Oriented Modeling & Design with UML,7
you can,You Can,7
object oriented ...turbo c++,Object oriented ...Turbo C++,7
operation and modeling of the mos transistor,Operation and Modeling of The MOS Transistor,7
fundfamental of information technology,Fundfamental of Information Technology,7
experimentation---machines,Experimentation---machines,7
fundamentals of wimax: understanding broadband wireless networking,Fundamentals of WIMAX: Understanding Broadband Wireless networking,7
real analysis,Real Analysis,7
a text book of eng. mathematics,A Text Book of Eng. Mathematics,7
fiber optics through experiments,Fiber optics through Experiments,7
textbook of engineering mathematics,Textbook of engineering mathematics,7
a text book of welding technology,A Text Book of Welding Technology,7
structured computer organisation,Structured computer organisation,7
puzzles to puzzle you,Puzzles to Puzzle you,7
manufacturing processes & systems,Manufacturing Processes & systems,7
art of public speaking,Art of public speaking,7
fundamentals of applied statistics,Fundamentals of Applied Statistics,7
material science and engineering an introduction,Material Science and Engineering An Introduction,7
elements of biotechnology,Elements of Biotechnology,7
beginning xhtml,Beginning XHTML,7
fundamentals of engineering thermodynamics,Fundamentals of Engineering Thermodynamics,7
fundamental of the internet & the world wilde web,Fundamental of the Internet & the World Wilde Web,7
programming languages,Programming Languages,7
analog and digital communication systems,Analog and Digital Communication Systems,7
fundamentals of programming languages,Fundamentals of Programming Languages,7
"quantitative aptitude for competitive exams: for mba entrance, cat, mat, gnat etc.","Quantitative aptitude for competitive exams: for MBA entrance, CAT, MAT, GNAT etc.",7
mechanical vibration,Mechanical Vibration,7
engineering mechanics dynamics,Engineering Mechanics Dynamics,7
linear algebra,Linear Algebra,7
advanced microprocessors & peripherals,Advanced Microprocessors & Peripherals,7
finite element analysis for engineering and technology,Finite element analysis for engineering and technology,7
wireless digital communication,Wireless Digital Communication,7
enterprise resource planning: concepts and practical,Enterprise resource planning: concepts and practical,7
performance and ...current machine,Performance and ...current Machine,7
switching and finite automata theory,Switching and Finite Automata Theory,7
c++ faqs,C++ FAQs,7
lean start up: how constant innovation creates radically successful business,Lean Start up: how constant innovation creates radically successful business,7
the official guide for gmat,The official guide for GMAT,7
thyristorised power controllers,Thyristorised Power Controllers,7
comprehensive statistics,Comprehensive statistics,7
understanding big data: analytics for enterprise class hadoop and streaming data,Understanding big data: Analytics for enterprise class hadoop and streaming data,7
interpreter of maladies,Interpreter of Maladies,7
investment science,Investment Science,7
internet: the complete reference,Internet: The Complete Reference,7
computer networking,Computer Networking,7
computer networks: a systems approach,Computer Networks: A systems approach,7
internet & web technology,Internet & Web Technology,7
concept of modern physics,Concept of modern physics,7
theoretical neuroscience: computational and mathematical modeling of neural systems,Theoretical neuroscience: Computational and mathematical modeling of neural systems,7
isdn and broadband isdn with frame relay and atm,ISDN and Broadband ISDN with Frame Relay and ATM,7
database system concept,Database System Concept,7
database modeling & design,Database Modeling & Design,7
the c programming language,The C Programming Language,7
conscious living,Conscious living,7
introductory functional analysis with application,Introductory Functional Analysis with Application,7
complex variables: theory & problems,Complex Variables: Theory & Problems,7
integrated electronics,Integrated Electronics,7
introduction to automate theory : language & c,Introduction to automate theory : Language & c,7
neural networks & fuzzy systems,Neural Networks & Fuzzy Systems,7
neural networks8177588524: a comprehensive foundation,Neural Networks8177588524: A Comprehensive Foundation,7
digital integrated circuit design,Digital Integrated Circuit Design,7
operational amplifiers and linear integrated ccts.,Operational Amplifiers and Linear Integrated Ccts.,7
neural network: a comprehensive foundation,Neural Network: A Comprehensive Foundation,7
introduction to machine learning,Introduction to machine learning,7
digital electronics practice using integrated cts.,Digital Electronics Practice Using Integrated Cts.,7
introduction to solid state physics,Introduction to Solid State Physics,7
digital electronics and logic design,Digital Electronics and Logic Design,7
introduction to instrumentation and control,Introduction to Instrumentation and Control,7
digital electronic: principles and  integrated circuits,Digital electronic: Principles and  integrated circuits,7
solid and liquid waste management: waste to wealth,Solid and Liquid waste management: Waste to wealth,7
complete reference web design,Complete Reference Web Design,7
principles of marketing 12th,Principles of Marketing 12th,7
handbook for structural engineers,Handbook for Structural Engineers,7
refrigeration air conditioning,Refrigeration Air Conditioning,7
"cmos:circuits design,layout and simulation","CMOS:Circuits Design,Layout and Simulation",7
theory of computer science,Theory of Computer science,7
indian economy,Indian Economy,7
java 2 platform,Java 2 platform,7
data communications & computer networks,Data Communications & Computer Networks,7
java 2 : certification,Java 2 : Certification,7
gas turbine theory,Gas Turbine Theory,7
e-commerce application----scratch,e-commerce application----scratch,7
principles of measurment systems,Principles of Measurment Systems,7
real time computer control :an introduction,Real Time Computer Control :An Introduction,7
industrial instrumentation & control,Industrial Instrumentation & Control,7
theory of machines and mechanisms,Theory of Machines and Mechanisms,7
robotics technology & flexible automation,Robotics technology & flexible automation,6
data mining: introductory & advanced topic,Data Mining: Introductory & Advanced Topic,6
fiber-optic communication systems,Fiber-Optic Communication Systems,6
communication systems engineering,Communication Systems Engineering,6
digital electronics,Digital Electronics,6
power electronics:: converters application and design,Power Electronics:: Converters application and design,6
"feynman lectures on physics :mainly mechanics, radiation, and heat vol. 1","Feynman lectures on physics :mainly mechanics, radiation, and Heat Vol. 1",6
complete reference in c++,Complete Reference in C++,6
proceddings of international conference on recent trends in mechanical engineering,Proceddings of international conference on recent trends in mechanical engineering,6
a course in phonetics and spoken english,A Course in Phonetics and Spoken English,6
application specific integrated circuits,Application specific integrated circuits,6
mastering cad/ cam,Mastering CAD/ CAM,6
antennas for all applications,Antennas for all Applications,6
materials science & engineering an introduction,Materials science & engineering an introduction,6
html and x html: the complete reference,HTML and X HTML: The Complete Reference,6
oxford advanced learner's dictionary,Oxford Advanced Learner's Dictionary,6
"8051microcontroller: internals, instructions, programming and interfacing","8051Microcontroller: Internals, Instructions, Programming and Interfacing",6
emerging energy alternatives for sustainable environment,Emerging Energy Alternatives for Sustainable Environment,6
optimization for engineering design: algorithms and examples,Optimization for engineering design: algorithms and examples,6
research methodology: methods & techniques,Research Methodology: Methods & Techniques,6
automotive technology,Automotive technology,6
modern vlsi design,Modern VLSI design,6
digital integrated circuits,Digital Integrated Circuits,6
system software:: an introduction to systems programming,System Software:: An introduction to systems programming,6
signals system,Signals System,6
introduction to nanotechnology,Introduction to Nanotechnology,6
electronics : analog and digital,Electronics : Analog and Digital,6
transducers and instrumentation,Transducers and Instrumentation,6
data communication & networking,Data Communication & Networking,6
cryptography & network security,Cryptography & Network Security,6
communication electronic principle and application,Communication Electronic Principle and Application,6
project management: the managerial process,Project Management: the managerial process,6
art of effective english writing,Art of Effective English writing,6
mobile computing,Mobile Computing,6
students guide to income tax,Students Guide to Income Tax,6
functional analysis,Functional Analysis,6
information theory coding & cryptography,Information Theory Coding & Cryptography,6
advanced vedic mathematics,Advanced Vedic mathematics,6
computer organization,Computer Organization,6
design of analog cmos integrated circuits,Design of Analog CMOS Integrated Circuits,6
hydraulic structures,Hydraulic Structures,6
computer programming in cobol,Computer Programming in COBOL,6
probablity and statistics for engineering,Probablity and Statistics for Engineering,6
first course in probability,First course in probability,6
technology of computer---manufacturing,Technology of computer---manufacturing,6
sams teach yourself cobol in 24 days,SAMS Teach Yourself Cobol in 24 days,6
english grammar composition & effective,English Grammar Composition & Effective,6
a text book of power plant engineering,A text book of Power Plant Engineering,6
confusing words,Confusing Words,6
core java 2 vol. 2,Core Java 2 Vol. 2,6
abbreviations and acronyms,Abbreviations and Acronyms,6
microwave,Microwave,6
html 4.0 no experience required,HTML 4.0 NO Experience Required,6
physics mcq,Physics MCQ,6
basic and applied thermodynamics,Basic and Applied Thermodynamics,6
differential and integral calculus vol.2,Differential and Integral Calculus Vol.2,6
software project management in practice,Software Project Management in Practice,6
instrumentation measurement and analysis 2nd,Instrumentation Measurement and Analysis 2nd,6
frontier of electronic commerce,Frontier of Electronic Commerce,6
mathematics for management,Mathematics for Management,6
optical communication,Optical Communication,6
workshop technology,Workshop technology,6
software testing techniques,Software Testing Techniques,6
an introduction to java programming,An Introduction to Java Programming,6
fiber-optics communication systems,Fiber-Optics Communication Systems,6
mobile cellular telecom:analog and digital systems,Mobile Cellular Telecom:Analog and Digital Systems,6
hdl programming: vhdl and verilog,HDL Programming: VHDL and Verilog,6
optical electronics,Optical Electronics,6
idioms and phrases,Idioms and Phrases,6
design of steel structures: limit states method,Design of steel structures: limit states method,6
an engineering approach to computer networking,An Engineering Approach to Computer Networking,6
internetworking ...tcp/ip,Internetworking ...TCP/IP,6
head first java,Head First Java,6
c++ primer,C++ Primer,6
antenna & wave propagation,Antenna & wave Propagation,6
parts of speech,Parts of Speech,6
book of nouns,Book of Nouns,6
book of adverbs,Book of Adverbs,6
book of adjective,Book of Adjective,6
real time systems design and analysis,Real Time Systems Design and Analysis,6
getting started with matlab: a quick introduction for scientist and engineers,Getting Started with MATLAB: A Quick Introduction for Scientist and Engineers,6
cad/cam ...theory and practice,CAD/CAM ...Theory and practice,6
turbines compressors & fans,Turbines Compressors & Fans,6
multimedia in practice;technology & application,Multimedia in Practice;Technology & Application,6
operation research,Operation Research,6
operation management;strategy & analysis,Operation Management;Strategy & Analysis,6
isro scientist/engineer (scientist-c) : ece solved paper and practice: electronics and communication engineering,ISRO scientist/engineer (Scientist-C) : ECE Solved Paper and practice: Electronics and Communication Engineering,6
learn correct english: a book of grammar usage & composition,Learn Correct English: A Book of Grammar Usage & Composition,6
operating system,Operating System,6
machine design: an integrated approach,Machine Design: An Integrated Approach,6
operation research theory & application,Operation Research Theory & Application,6
beginning xhtml/html,Beginning XHTML/HTML,6
fundamentals of futures and options markets,Fundamentals of Futures and Options Markets,6
operation research for management,Operation Research for Management,6
electromagnetic field and waves,Electromagnetic field and waves,6
the complete reference : pc hardware,The Complete Reference : PC Hardware,6
book of antonyms,Book of Antonyms,6
maintenance engineering and management,Maintenance Engineering and Management,6
investments,Investments,6
book of synonyms,Book of Synonyms,6
real -time systems,Real -Time Systems,6
c++ : how to program,C++ : How To Program,6
basic circuit theory,Basic Circuit Theory,6
real complex analysis,Real Complex Analysis,6
"sql,pl/sql : the programming language of oracle","SQL,PL/SQL : The Programming Language of Oracle",6
pure mathematics 1,Pure Mathematics 1,6
fundamentals of semiconductor devices,Fundamentals of Semiconductor Devices,5
software architecture,Software Architecture,5
microprocessors & microcontrollers 8085/8051: archotecture progr. & systems design,Microprocessors & Microcontrollers 8085/8051: Archotecture Progr. & Systems Design,5
radar foundations for imaging and advanced concept,Radar Foundations for Imaging and Advanced Concept,5
principles of engineering thermodynamics,Principles of engineering thermodynamics,5
finite differences and numerical analysis,Finite Differences and Numerical Analysis,5
radar sonar & navigation engineering,Radar Sonar & Navigation Engineering,5
principles of mathematical analysis,Principles of Mathematical Analysis,5
software engineering817808497x,Software Engineering817808497X,5
microprocessors principles and applications,Microprocessors principles and applications,5
iso 9000 and tqm,ISO 9000 and TQM,5
experimental--materials,Experimental--materials,5
fundamentals of nano electronics,Fundamentals of Nano electronics,5
microprocessors system design and interfacing,Microprocessors System Design And Interfacing,5
processes and materials manufacture,Processes and Materials Manufacture,5
network analysis and synthesis analysis,Network Analysis and Synthesis Analysis,5
fundamentals of signal & systems,Fundamentals of Signal & Systems,5
nanotechnology,Nanotechnology,5
hernative building materials and technologies,Hernative building materials and technologies,5
is-95 cdma and cdma 2000; cellular/pcs systems implementation,IS-95 CDMA and CDMA 2000; Cellular/PCS Systems Implementation,5
fundamentals of programming language,Fundamentals of programming language,5
gate: graduate test in engineering mechanical engineering,Gate: Graduate test in engineering mechanical engineering,5
lectures on physics,Lectures on Physics,5
"intermediate grammar,usage and composition","Intermediate Grammar,Usage and Composition",5
internal combustion engine fundamentals,Internal Combustion Engine Fundamentals,5
probability and statistics for engineers and scientists,Probability and Statistics for Engineers and Scientists,5
intermediate microeconomics: a modern approach,Intermediate Microeconomics: A Modern approach,5
high voltage engineering,High Voltage Engineering,5
network management: principles & practice,Network Management: Principles & Practice,5
schaums outline theory and problems --mechanics,Schaums outline theory and problems --mechanics,5
probablity  random variables & stochastic process,Probablity  Random Variables & Stochastic Process,5
satellite communication systems : design principle,Satellite Communication Systems : Design Principle,5
"micro controllers: architecture,implementation& programming","Micro controllers: Architecture,Implementation& Programming",5
software engineering : an engineering aproach,Software Engineering : An Engineering Aproach,5
how to solve it by computer,How to Solve it by Computer,5
r date visualization cookbook,R Date visualization cookbook,5
science of engineering materials,Science of Engineering Materials,5
process systems analysis & control,Process Systems Analysis & Control,5
finite elements producers,Finite Elements Producers,5
microelectronic circuits and devices,Microelectronic Circuits and Devices,5
microelectronic circuits:: analysis & design,Microelectronic Circuits:: Analysis & Design,5
fundamentals of neural network: architecture algorithims & applications,fundamentals of Neural Network: Architecture Algorithims & Applications,5
microelectronics:concept & application,Microelectronics:Concept & application,5
microprocessor architecture programming 8085,Microprocessor Architecture Programming 8085,5
finite element methods in engineering,Finite Element Methods in Engineering,5
fluid dyanamics,Fluid Dyanamics,5
microwave and radar,Microwave and Radar,5
fundamentals of digital logic with verilog design,Fundamentals of Digital Logic With Verilog Design,5
instrumentatal---analysis,Instrumentatal---analysis,5
principles of mobile computing,Principles of Mobile Computing,5
private initiative in higher education,Private Initiative in Higher Education,5
labview for everyone,Labview for Everyone,5
mobile wireless communications,Mobile Wireless Communications,5
real-time computer control : an introduction,Real-Time Computer Control : An Introduction,5
industrial electronics and control,Industrial Electronics and Control,5
stereochemistry conformation & mechanism,Stereochemistry conformation & mechanism,5
simplified macro-monetrary theory,Simplified Macro-Monetrary Theory,5
fundamentls of artificial neural networks,Fundamentls of Artificial Neural Networks,5
problems in general physics,Problems in General Physics,5
shahid bhagat singh: ek najadiki drishtrikon,Shahid Bhagat Singh: Ek Najadiki Drishtrikon,5
gate 2011 electronics & communication engineering,GATE 2011 electronics & communication engineering,5
modern coding theory,Modern Coding Theory,5
gate 2011 civil engineering,GATE 2011 Civil Engineering,5
modern concept of ecology,Modern Concept of Ecology,5
readings in international economics,Readings in International Economics,5
modern control systems,Modern Control Systems,5
jude the obscure,Jude the obscure,5
modern electronic instr.and measurement techniques,Modern Electronic Instr.and Measurement Techniques,5
nerual networks: a comprehensive foundation,Nerual Networks: A Comprehensive Foundation,5
signals systems,Signals Systems,5
modern electronics measurement techniques,Modern Electronics Measurement Techniques,5
modern english poetry a selection,Modern english poetry a selection,5
problem solving with c++ : the object programming,Problem Solving With C++ : The Object Programming,5
jones's instrumenta technology,Jones's Instrumenta Technology,5
si edition engineering mechanics statics,SI Edition Engineering Mechanics statics,5
signals and systems: continuous and discrete,Signals and systems: continuous and discrete,5
"next generation wireless lans: throughput, robustness and rel","Next generation wireless LANS: Throughput, Robustness and Rel",5
small scale industries & enterpurnership,Small Scale Industries & Enterpurnership,5
iit mathematics,IIT Mathematics,5
mobile communications 2nd,Mobile Communications 2nd,5
new international business english (student book),New international business English (student book),5
financial management,Financial Management,5
inorganic chemistry,Inorganic chemistry,5
signal & systems,Signal & Systems,5
"information theory, coding and cryptography","Information Theory, Coding and Cryptography",5
fluid mechanics and hydraulics,Fluid mechanics and hydraulics,5
it tools and applications (m-1),IT Tools and Applications (M-1),5
"information theory, coding & cryptography","Information Theory, Coding & Cryptography",5
"process control: concepts, dynamics and applications","Process Control: Concepts, Dynamics and Applications",5
gate paper instrumentation engineering,GATE Paper Instrumentation Engineering,5
financial accounting : a managerial perspective,Financial Accounting : A Managerial Perspective,5
information technology: the breaking wave,Information Technology: The Breaking Wave,5
"motor vehicles act, 1998","Motor Vehicles Act, 1998",5
information technology for mangement,Information Technology for Mangement,5
gate 2013: civil engineering,GATE 2013: civil engineering,5
lasers and non linear optics,Lasers and non linear optics,5
"mining the social web: data mining facebook, twitter, linkdin, google+, github and more","Mining the social web: data mining facebook, twitter, linkdin, google+, github and more",5
hydraulics and fluid mechanics,Hydraulics and Fluid Mechanics,5
information technology (m-1),Information Technology (M-1),5
"hydrology: priniciples, analysis, design","Hydrology: priniciples, analysis, design",5
mobile and wireless design essentials,Mobile and wireless design essentials,5
information storage and retrieval systems: theory and implementation,Information storage and retrieval systems: theory and implementation,5
java 2: the complete reference,Java 2: The Complete Reference,5
fibre optic communication,Fibre Optic Communication,5
mobile communication engineering,Mobile Communication Engineering,5
java how to program,Java How to Program,5
principles of heat transfer,Principles of Heat Transfer,5
"it tools & application,business systems, ........c","IT Tools & Application,Business Systems, ........C",5
fundamentals of managements: essential concepts and applications,Fundamentals of managements: Essential concepts and applications,5
new international business english,New international business English,5
structure analysis vol. 1,Structure analysis Vol. 1,5
mapping and compilation methods and techniques,Mapping and compilation methods and techniques,5
