book_id,_unique_key,title,author,editionstatement,publishercode,copyrightdate,itemcallnumber,quantity
29,"8088 and 8086 microprocessers:---applications||triebel, walter a & singh, avtar||1st||prantice hall of india||1996",8088 and 8086 microprocessers:---applications,"TRIEBEL, WALTER A & SINGH, AVTAR",1st,PRANTICE HALL OF INDIA,1996,004.165 TRI,1
30,"8088 and 8086 microprocessers:---applications||triebel, walter a & singh, avtar||||prantice hall of india||1996",8088 and 8086 microprocessers:---applications,"TRIEBEL, WALTER A & SINGH, AVTAR",,PRANTICE HALL OF INDIA,1996,004.165 TRI,2
31,"8088 and 8086 microprocessers||triebel, walter a & singh, avtar||1st ed.||prantice hall of india||1991",8088 and 8086 microprocessers,"Triebel, Walter A & Singh, Avtar",1st ed.,PRANTICE HALL OF INDIA,1991,004.165 TRI,2
32,8088 and 8086 microprocessors||triebel(walter a)&singh(avtar)||4th||prentice hall of india||2003,8088 and 8086 Microprocessors,TRIEBEL(WALTER A)&SINGH(AVTAR),4th,PRENTICE HALL OF INDIA,2003,004.165 TRI; 6,1
33,a  new  scientific understanding of living systems||||||anchor books doubledy||1996,A  New  scientific understanding of living systems,,,Anchor books doubledy,1996,574.01CAP 1,1
34,"a colossus named vivekananda: whose mission awaits completion||rolland, romain||1st ed.||vijay goel||2006",A colossus named Vivekananda: whose mission awaits completion,"Rolland, Romain",1st ed.,Vijay Goel,2006,294.57092 ROL,1
35,a comlete study reference for ntpc national thermal power corporation: mechanical engineering||g.k. publishers||1st ed.||g.k. publisher||2010,A comlete study reference for NTPC national thermal power corporation: Mechanical engineering,G.K. Publishers,1st ed.,G.K. Publisher,2010,621 GKP,4
36,"a course in --electrical technology||gupta, j b||1st ed.||s.k kataria||1999",A course in --electrical technology,"Gupta, J B",1st ed.,S.K KATARIA,1999,621.3 GUP,2
37,"a course in abstract algebra||khanna, vijey k.||1st ed.||vikas publication house||2016",A course in abstract algebra,"Khanna, Vijey K.",1st ed.,Vikas Publication House,2016,512 KHA,1
38,"a course in electrical and ----- instrumentation||sawhney, a. k.||17th||dhanpat rai & sons||2000",A Course in Electrical and ----- Instrumentation,"SAWHNEY, A. K.",17th,DHANPAT RAI & SONS,2000,621.30287 SAW,1
39,"a course in electrical and ----- instrumentation||sawhney, a. k.||1st ed.||dhanpat rai & sons||2001",A Course in Electrical and ----- Instrumentation,"Sawhney, A. K.",1st ed.,DHANPAT RAI & SONS,2001,621.30287 SAW,2
40,"a course in electrical and ----- instrumentation||sawhney, a.k||17th.||dhanpat rai & sons||2002",A Course in Electrical and ----- Instrumentation,"Sawhney, A.K",17th.,DHANPAT RAI & SONS,2002,621.30287 SAW,9
41,"a course in electrical and electronic measurement & instrumentation||sawhney, a.k.||18th||dhanpat rai & co.||2010",A Course in Electrical and Electronic Measurement & Instrumentation,"SAWHNEY, A.K.",18th,Dhanpat Rai & Co.,2010,621.30287 SAW,5
42,"a course in electrical and instrumentation||sawhney,a.k.||1st ed.||dhanpat rai||2005",A Course in Electrical and Instrumentation,"Sawhney,A.K.",1st ed.,Dhanpat rai,2005,621.30287 SAW,4
43,"a course in electrical and instrumentation||sawhney,a.k.||1st||dhanpat rai||2005",A Course in Electrical and Instrumentation,"Sawhney,A.K.",1st,Dhanpat rai,2005,621.30287 SAW,15
